 53593.00       0.000     -60.947 8 
 53593.58       0.000     -61.638 8 
 53594.00       0.000     -62.143 8 
 53594.58       0.000     -62.819 8 
 53595.00       0.000     -63.274 8 
 53595.58       0.000     -64.047 8 
 53596.00       0.000     -64.598 8 
 53596.58       0.000     -65.309 8 
 53597.00       0.000     -65.828 8 
 53597.58       0.000     -66.566 8 
 53598.00       0.000     -67.142 8 
 53598.58       0.000     -67.891 8 
 53599.00       0.000     -68.423 8 
 53599.58       0.000     -69.172 8 
 53600.00       0.000     -69.709 8 
 53600.58       0.000     -70.464 8 
 53601.00       0.000     -71.001 8 
 53601.58       0.000     -71.789 8 
 53602.00       0.000     -72.355 8 
 53602.58       0.000     -73.169 8 
 53603.00       0.000     -73.754 8 
 53603.58       0.000     -74.581 8 
 53604.00       0.000     -75.172 8 
 53604.58       0.000     -75.996 8 
 53605.00       0.000     -76.578 8 
 53605.58       0.000     -77.412 8 
 53606.00       0.000     -78.027 8 
 53606.58       0.000     -78.864 8 
 53607.00       0.000     -79.457 8 
 53607.58       0.000     -80.262 8 
 53608.00       0.000     -80.836 8 
 53608.58       0.000     -81.689 8 
 53609.00       0.000     -82.298 8 
 53609.58       0.000     -83.148 8 
 53610.00       0.000     -83.752 8 
 53610.58       0.000     -84.623 8 
 53611.00       0.000     -85.248 8 
 53611.58       0.000     -86.120 8 
 53612.00       0.000     -86.748 8 
 53612.58       0.000     -87.626 8 
 53613.00       0.000     -88.258 8 
 53613.58       0.000     -89.113 8 
 53614.00       0.000     -89.714 8 
 53614.58       0.000     -90.611 8 
 53615.00       0.000     -91.261 8 
 53615.58       0.000     -92.189 8 
 53616.00       0.000     -92.859 8 
 53616.58       0.000     -93.789 8 
 53617.00       0.000     -94.459 8 
 53617.58       0.000     -95.374 8 
 53618.00       0.000     -96.031 8 
 53618.58       0.000     -96.938 8 
 53619.00       0.000     -97.589 8 
 53619.58       0.000     -98.471 8 
 53620.00       0.000     -99.108 8 
 53620.58       0.000     -99.980 8 
 53621.00       0.000     ******* 8 
 53621.58       0.000     ******* 8 
 53622.00       0.000     ******* 8 
 53622.58       0.000     ******* 8 
 53623.00       0.000     ******* 8 
 53623.58       0.000     ******* 8 
 53624.00       0.000     ******* 8 
 53624.58       0.000     ******* 8 
 53625.00       0.000     ******* 8 
 53625.58       0.000     ******* 8 
 53626.00       0.000     ******* 8 
 53626.58       0.000     ******* 8 
 53627.00       0.000     ******* 8 
 53627.58       0.000     ******* 8 
 53628.00       0.000     ******* 8 
 53628.58       0.000     -40.644 8 
 53629.00       0.000      -1.015 8 
 53629.58       0.000      -0.951 8 
 53630.00       0.000      -0.907 8 
 53630.58       0.000      -0.889 8 
 53631.00       0.000      -0.889 8 
 53631.58       0.000      -0.877 8 
 53632.00       0.000      -0.866 8 
 53632.58       0.000      -0.865 8 
 53633.00       0.000      -0.868 8 
 53633.58       0.000      -0.896 8 
 53634.00       0.000      -0.920 8 
 53634.58       0.000      -0.922 8 
 53635.00       0.000      -0.914 8 
 53635.58       0.000      -0.902 8 
 53636.00       0.000      -0.889 8 
 53636.58       0.000      -0.883 8 
 53637.00       0.000      -0.874 8 
 53637.58       0.000      -0.877 8 
 53638.00       0.000      -0.864 8 
 53638.58       0.000      -0.878 8 
 53639.00       0.000      -0.887 8 
 53639.58       0.000      -0.944 8 
 53640.00       0.000      -0.979 8 
 53640.58       0.000      -1.036 8 
 53641.00       0.000      -1.069 8 
 53641.58       0.000      -1.148 8 
 53642.00       0.000      -1.166 8 
 53642.58       0.000      -1.315 8 
 53643.00       0.000      -1.490 8 
 53643.58       0.000      -1.527 8 
 53644.00       0.000      -1.562 8 
 53644.58       0.000      -1.627 8 
 53645.00       0.000      -1.667 8 
 53645.58       0.000      -1.778 8 
 53646.00       0.000      -1.865 8 
 53646.58       0.000      -1.999 8 
 53647.00       0.000      -2.103 8 
 53647.58       0.000      -2.227 8 
 53648.00       0.000      -2.319 8 
 53648.58       0.000      -2.448 8 
